,name,qtype,refer,Al,Ti,Li,Ge,Sr
2,Klondike,orogenic,Wolff 2012,740.0,8.0,7.9,16.0,1.2
6,Klondike,orogenic,Wolff 2012,510.0,1.9,11.2,22.0,8.5
31,Klondike,orogenic,Wolff 2012,166.0,1.4,3.7,19.0,0.08
37,Klondike,orogenic,Wolff 2012,142.0,19.0,9.6,11.0,0.27
51,Klondike,orogenic,Wolff 2012,67.6,0.64,8.2,2.7,0.071
58,Klondike,orogenic,Wolff 2012,17.8,1.24,0.25,2.8,0.08
65,Klondike,orogenic,Wolff 2012,40.6,3.8,0.39,4.0,0.038
67,Klondike,orogenic,Wolff 2012,32.3,1.62,0.61,2.01,0.0257
87,Klondike,orogenic,Wolff 2012,37.5,2.88,1.57,1.54,0.101
90,Klondike,orogenic,Wolff 2012,11.63,1.53,0.07,1.24,0.028
91,Klondike,orogenic,Wolff 2012,10.3,1.56,0.063,1.3,0.09
92,Klondike,orogenic,Wolff 2012,10.9,1.4,0.119,1.73,0.07
93,Klondike,orogenic,Wolff 2012,10.8,1.59,0.073,1.28,0.0137
95,Klondike,orogenic,Wolff 2012,240.0,9.0,12.3,17.0,0.65
103,Klondike,orogenic,Wolff 2012,28.8,2.3,1.54,1.65,0.0155
105,Klondike,orogenic,Wolff 2012,37.4,3.51,0.93,2.02,0.09
116,Klondike,orogenic,Wolff 2012,270.0,16.0,4.0,18.0,0.35
138,Klondike,orogenic,Wolff 2012,316.0,4.9,3.6,20.0,3.2
141,Klondike,orogenic,Wolff 2012,80.0,3.4,0.37,4.8,0.4
155,Klondike,orogenic,Wolff 2012,35.9,1.98,0.465,1.18,0.144
158,Klondike,orogenic,Wolff 2012,17.9,2.01,0.16,1.58,0.08
159,Klondike,orogenic,Wolff 2012,14.4,1.45,0.72,1.69,0.02
160,Klondike,orogenic,Wolff 2012,23.5,1.83,0.492,1.42,0.138
161,Klondike,orogenic,Wolff 2012,25.1,1.88,0.07,0.93,0.214
162,Klondike,orogenic,Wolff 2012,20.34,1.53,0.584,2.26,0.053
163,Klondike,orogenic,Wolff 2012,11.7,1.84,0.046,2.2,0.42
164,Klondike,orogenic,Wolff 2012,21.48,1.37,0.24,2.7,0.092
166,Klondike,orogenic,Wolff 2012,28.8,1.03,0.581,2.13,0.401
167,Klondike,orogenic,Wolff 2012,55.0,1.2,1.87,2.58,0.237
168,Klondike,orogenic,Wolff 2012,12.8,1.55,0.142,1.72,0.105
169,Klondike,orogenic,Wolff 2012,20.3,1.27,0.273,1.92,0.237
171,Klondike,orogenic,Wolff 2012,15.65,1.22,0.067,2.03,0.39
172,Klondike,orogenic,Wolff 2012,37.5,1.57,1.47,1.47,0.382
173,Klondike,orogenic,Wolff 2012,11.91,1.08,0.128,2.13,0.041
174,Klondike,orogenic,Wolff 2012,15.7,1.55,0.189,1.93,0.157
176,Klondike,orogenic,Wolff 2012,23.69,1.02,0.259,2.2,0.169
